"age","year","unit","season","area","iter","data"
"all",1990,"unique","all","unique","1",NA
"all",1991,"unique","all","unique","1",NA
"all",1992,"unique","all","unique","1",NA
"all",1993,"unique","all","unique","1",NA
"all",1994,"unique","all","unique","1",NA
"all",1995,"unique","all","unique","1",NA
"all",1996,"unique","all","unique","1",NA
"all",1997,"unique","all","unique","1",NA
"all",1998,"unique","all","unique","1",NA
"all",1999,"unique","all","unique","1",NA
"all",2000,"unique","all","unique","1",NA
"all",2001,"unique","all","unique","1",NA
"all",2002,"unique","all","unique","1",NA
"all",2003,"unique","all","unique","1",NA
"all",2004,"unique","all","unique","1",219.966159052453
"all",2005,"unique","all","unique","1",632.183908045977
"all",2006,"unique","all","unique","1",648.820326678766
"all",2007,"unique","all","unique","1",417.04857928506
"all",2008,"unique","all","unique","1",417.04857928506
"all",2009,"unique","all","unique","1",417.04857928506
